remaining_dist: 5.235986, free_path: 5.235986, latency_dist: 0.000000, accelerate_dist: 0.01, const_dist: 0.00
vnorm: 0.00, drive_vel_: 0.00, curr_velocity: 0.000000, acceleration_: 0.00, next_acceleration: 4.00

remaining_dist: 5.235986, free_path: 5.235986, latency_dist: 0.000000, accelerate_dist: 0.04, const_dist: 0.02
vnorm: 0.20, drive_vel_: 0.20, curr_velocity: 0.200000, acceleration_: 4.00, next_acceleration: 4.00

remaining_dist: 5.235986, free_path: 5.235986, latency_dist: 0.000000, accelerate_dist: 0.07, const_dist: 0.04
vnorm: 0.40, drive_vel_: 0.40, curr_velocity: 0.400000, acceleration_: 4.00, next_acceleration: 4.00

remaining_dist: 5.026546, free_path: 5.026546, latency_dist: 0.000000, accelerate_dist: 0.12, const_dist: 0.08
vnorm: 0.60, drive_vel_: 0.60, curr_velocity: 0.600000, acceleration_: 4.00, next_acceleration: 4.00

remaining_dist: 5.026546, free_path: 5.026546, latency_dist: 0.000000, accelerate_dist: 0.15, const_dist: 0.10
vnorm: 0.73, drive_vel_: 0.80, curr_velocity: 0.725000, acceleration_: 4.00, next_acceleration: 4.00

remaining_dist: 5.026546, free_path: 5.026546, latency_dist: 0.000000, accelerate_dist: 0.17, const_dist: 0.15
vnorm: 0.93, drive_vel_: 0.93, curr_velocity: 0.925000, acceleration_: 4.00, next_acceleration: 4.00

remaining_dist: 5.026546, free_path: 5.026546, latency_dist: 0.000000, accelerate_dist: 0.17, const_dist: 0.17
vnorm: 1.00, drive_vel_: 1.00, curr_velocity: 1.000000, acceleration_: 4.00, next_acceleration: 0.00

remaining_dist: 5.026546, free_path: 5.026546, latency_dist: 0.000000, accelerate_dist: 0.17, const_dist: 0.17
vnorm: 1.00, drive_vel_: 1.00, curr_velocity: 1.000000, acceleration_: 0.00, next_acceleration: 0.00

remaining_dist: 4.833218, free_path: 4.833218, latency_dist: 0.000000, accelerate_dist: 0.17, const_dist: 0.17
